2025-09-25 14:52:26 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:52:41 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:52:43 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:53:45 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:54:02 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:54:19 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:55:15 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:56:15 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:57:33 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:57:50 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:57:50 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:58:07 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:58:23 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:58:40 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:59:15 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 15:00:15 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 15:03:16 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 15:03:33 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 15:03:50 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 15:03:54 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 15:04:00 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 15:04:17 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 15:08:15 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 15:09:15 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 15:29:04 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:30:12 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:30:32 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:30:51 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:31:11 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:31:31 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:31:47 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:31:51 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:32:11 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:32:30 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:32:47 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:32:50 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
2025-09-25 15:33:10 | api_servers_status | 6 | ubuntu | 192.168.9.59 | OFFLINE
